user_name,user_app_rating,user_review_date,company_comment_date,comment,company_answer_check
상그리,1,2017년 1월 31일,2017년 2월 22일,Sk 쓴다고 어플 안되는게 어딨담 빨리 고쳐주세요,answer
김계원,1,2017년 1월 29일,2017년 2월 22일,SK만 안된다구요? LG도 안됩니다. 뭐 이건 앱을 접속이안되는데 잘만들고 못만들고가 의미가있나요? 몇주째 접속문제해결안되는거 같은데.. 업무담당자 뭐하는지 궁금하네요. 전혀 고객지향적이지 않은 모습에 처음으로 리뷰씁니다. 사태파악을 제대로 하시고 개선하셔야 할것 같습니다. 별 1개 최악 드립니다.,answer
일상의비결,2,2017년 1월 25일,2017년 2월 22일,채용정보 스크롤하다보면 다른페이지로 넘어가 저장한 채용정보가 없다고 뜹니다.(저장한 채용정보 페이지로 넘어가는듯) 조속한 처리부탁드립니다,answer
김올이,4,2017년 1월 23일,2017년 2월 22일,연봉볼때 몇년도때 인건지 알수있게 해주세용,answer
한지영,1,2017년 1월 20일,2017년 2월 22일,검색해서 아래로 스크롤하면 계속 멈추고 꺼짐,answer
Google 사용자,2,2017년 1월 20일,2017년 2월 21일,머야 렉ㅡㅡ,answer
Sukwon Jung,1,2017년 1월 19일,2017년 2월 21일,"먼 어플이 실행만 시키면 로긴도 안되냐,,이래가 무슨 장사를 한단 말인가",answer
허인철,1,2017년 1월 19일,2017년 2월 21일,와..이런거처음써봄..로그인하는대만 매번 겁나오래걸림 기본10.20분이상 로딩은 기본임  꼬진듯...연봉정보도 안맞는게만음,answer
김건섭,1,2017년 1월 15일,2017년 1월 31일,아니 비밀번호 변경하려는데 무슨 에러가 자꾸떠 비밀번호도 9자리 이상했고 특수문자까지 추가도해봤는데 도 안되고 왜이래요,answer
이채원,1,2017년 1월 13일,2017년 1월 31일,머 기업광고해줌? 있는그대로 썼는데 왜거절함? 좋은글만 다 채택해서 올려놓으면 그기업에대해 찾아본사람들이 뭘알겠음ㅋㅋㅋ 기업에대해 알려줄려고 만든앱아니엿음? 이따구면 멀믿고 사용함ㅋㅋㅋㅋ 얼척없고짜증나서지움,answer
Google 사용자,1,2017년 1월 13일,2017년 1월 13일,무한 로딩 중;; 왜 이러죠..,answer
Google 사용자,2,2017년 1월 12일,2017년 1월 13일,저장한 채용공고만 봐져야 되는데 온갖 채용공고까지 같이 나옴 그리고 채용공고 필터링항목 너무 많아서 불편함 단순화 해주세요,answer
Abin p,1,2017년 1월 11일,2017년 1월 13일,이용하는데 불편함이 없어야되는데 가장 기초적인 접속도 안되는것을 보면 이용자와 싸우자인건지..좋은 답글보다는 지금 리뷰자들의 소리좀 들어주세요.,answer
Google 사용자,3,2017년 1월 10일,2017년 1월 11일,설치했어도 실행안될 때가 너무 많고 삭제했다고 설치해도 실행이 안돼고 이멜로 가입 했었는데 로그인도 안돼고 페북 가입도 안돼고 뭐어쩌라는건지 모르겠어요,answer
jongmo kim,5,2017년 1월 8일,2017년 2월 28일,좋습니다,answer
Jae Ho Lee,1,2017년 1월 8일,2017년 1월 11일,"최초의 기업정신을 잃은듯하고, 복사붙여넣기좀 그만해라",answer
민동문,5,2017년 1월 7일,2017년 1월 11일,"대학생인데 이것저것 좋은 정보 많이 얻고있고, 인턴쉽과 정규채용 지원에 잘 쓰고 있습니다. 세상에 꼭 필요한 앱을 만들어주셔서 정말 감사합니다",answer
이상범,1,2017년 1월 4일,2017년 1월 6일,쓸장점이 없는 기업의 실태를 상세히도 아니고 대표적으로 추스려적었더니 연봉정보는 쏙빼먹고 리뷰는 싹거절사는거보니 구직자들의 객관적 선택을 도와주긴 커녕 이앱의 신뢰성이 더욱 의심스러움,answer
lord shadow,3,2017년 1월 4일,2017년 1월 6일,최대한 생각해서 썻는데도 거절을2번이나당하네. 아니도대체 회사단점을쓰지말라는건가?장점만서열하면 또다른피해자는 어떡하지? 여기도 점점 못믿어지겟다. 너무까다롭고 너무 기준이높다.,answer
Google 사용자,4,2017년 1월 4일,2017년 1월 6일,좋아요,answer
pws Park,3,2017년 1월 4일,2017년 1월 6일,기업정보나 연봉정보 업데이트가 안된다는 단점,answer
홍성경,5,2017년 1월 2일,2017년 1월 6일,신랄한 리뷰와 깔끔한 인터페이스,answer
joohyun yoon,1,2017년 1월 2일,2017년 1월 6일,뭐 접속이안되는데 무슨 평가를 바라는지,answer
뽕건,5,2017년 1월 1일,2017년 1월 6일,good,answer
김형하,5,2016년 12월 30일,2017년 1월 6일,이 어플을 개발한 회사가 맘에 드네요,answer
백유안,1,2016년 12월 28일,2017년 1월 6일,왜 skt lte망으로 접속이안되는겁니까?,answer
존도우,1,2016년 12월 28일,2017년 1월 3일,직접경험한 기업의 적나라한 민낯을 소개한글은 등록이 안되거나 바로 비공개되는군요 그럼 기업에대한 정보가 제한적으로 무난한면만공개되는것같습니다 절대 옳지않아요 기업에관심있는 사회초년생들을 기만하는앱입니다,answer
Tae-Wan Kim,1,2016년 12월 27일,2017년 1월 6일,접속이 계속 원활하지 않다고 나오네요,answer
기완석,1,2016년 12월 26일,no_answer,시작 시 인디케이터에서 진행이 안 됩니다,no_answer
A F,2,2016년 12월 25일,2017년 1월 3일,사실적으로 리뷰를 적어도 거절을 당하네요. 이러실거면 처음부터 리뷰를 만들어 놓았습니까?,answer
candy Go,1,2016년 12월 23일,2016년 12월 23일,"장.단점을 사실대로 기록하였으나 사실확인도 하지않고 리뷰승인이 거절되었으며,  계정 기록에서도 삭제됨.",answer
